         16789652 function calls (16783228 primitive calls) in 30.542 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    34199    0.025    0.000    0.028    0.000 feedparser.py:77(readline)
    71507    0.025    0.000    0.033    0.000 threading.py:267(__exit__)
    96379    0.025    0.000    0.025    0.000 structures.py:58(<genexpr>)
     3109    0.025    0.000    0.084    0.000 client.py:1086(putrequest)
   208243    0.024    0.000    0.024    0.000 {method 'decode' of 'bytes' objects}
     3109    0.024    0.000   30.430    0.010 requests.py:32(sendRequest)
    71507    0.024    0.000    0.037    0.000 threading.py:264(__enter__)
   108820    0.024    0.000    0.024    0.000 {built-in method builtins.hasattr}
     3109    0.023    0.000    0.055    0.000 cookiejar.py:1356(add_cookie_header)
     6218    0.023    0.000    0.382    0.000 _collections.py:92(clear)
     3109    0.023    0.000    0.333    0.000 connectionpool.py:483(close)
     3109    0.023    0.000    3.486    0.001 sessions.py:749(merge_environment_settings)
     6218    0.023    0.000    0.123    0.000 utils.py:831(select_proxy)
     3109    0.022    0.000    0.317    0.000 adapters.py:296(build_response)
    68398    0.022    0.000    0.037    0.000 threading.py:279(_is_owned)
     3109    0.022    0.000    0.579    0.000 parser.py:59(parsestr)
    12436    0.022    0.000    0.045    0.000 utils.py:1027(check_header_validity)
     6218    0.022    0.000    0.045    0.000 poolmanager.py:171(__init__)
     3109    0.022    0.000    0.046    0.000 feedparser.py:137(__init__)
     3109    0.022    0.000    0.120    0.000 models.py:495(prepare_body)
     6218    0.021    0.000    1.442    0.000 client.py:971(send)
     3109    0.021    0.000    0.052    0.000 client.py:450(read)
     6218    0.021    0.000    0.021    0.000 {method 'readlines' of '_io._IOBase' objects}
    21763    0.021    0.000    0.059    0.000 <frozen _collections_abc>:778(__contains__)
     3109    0.021    0.000    0.086    0.000 models.py:659(__init__)
     3109    0.021    0.000    1.465    0.000 client.py:1032(_send_output)
    71507    0.020    0.000    0.028    0.000 queue.py:15(_qsize)
    24872    0.020    0.000    0.028    0.000 <frozen _collections_abc>:790(items)
    59071    0.020    0.000    0.020    0.000 {method 'split' of 'str' objects}
    18654    0.020    0.000    0.023    0.000 cookiejar.py:1227(deepvalues)
    34199    0.020    0.000    0.048    0.000 feedparser.py:127(__next__)
     3109    0.019    0.000    0.227    0.000 utils.py:71(proxy_bypass_registry)
     3109    0.019    0.000    0.054    0.000 _collections.py:231(extend)
     6218    0.019    0.000    0.060    0.000 cookiejar.py:1599(make_cookies)
     3109    0.019    0.000    0.019    0.000 {method 'setsockopt' of '_socket.socket' objects}
     3109    0.019    0.000    0.302    0.000 poolmanager.py:189(_new_pool)
     3109    0.019    0.000    0.557    0.000 parser.py:41(parse)
     3109    0.019    0.000    1.863    0.001 connection.py:231(request)
     3109    0.018    0.000    0.810    0.000 models.py:352(prepare)
     9327    0.018    0.000    0.032    0.000 url.py:91(__new__)
     6218    0.018    0.000    0.085    0.000 cookiejar.py:1680(extract_cookies)
     6218    0.018    0.000    0.158    0.000 cookies.py:124(extract_cookies_to_jar)
     6218    0.018    0.000    0.024    0.000 idna.py:145(encode)
    12436    0.018    0.000    0.031    0.000 url.py:274(_normalize_host)
    43526    0.018    0.000    0.072    0.000 _policybase.py:311(header_fetch_parse)
   139926    0.018    0.000    0.018    0.000 {method 'append' of 'list' objects}
     3109    0.017    0.000    0.046    0.000 connection.py:115(__init__)
    12436    0.017    0.000    0.025    0.000 timeout.py:102(__init__)
     6218    0.017    0.000    0.040    0.000 decoder.py:332(decode)
    24872    0.017    0.000    0.027    0.000 _collections.py:215(add)
     1552    0.017    0.000    0.060    0.000 track2Command.py:75(detectHoverToClickGesture)
     3109    0.017    0.000   20.106    0.006 client.py:1334(getresponse)
    46635    0.017    0.000    0.024    0.000 utils.py:51(_has_surrogates)
    12436    0.017    0.000    0.017    0.000 cookiejar.py:884(__init__)
     3109    0.016    0.000    0.061    0.000 queue.py:34(__init__)
     3109    0.016    0.000    0.016    0.000 feedparser.py:52(__init__)
    34199    0.016    0.000    0.023    0.000 six.py:1014(ensure_text)
    18654    0.016    0.000    0.019    0.000 structures.py:57(__iter__)
    34199    0.016    0.000    0.020    0.000 queue.py:18(_put)
     3109    0.016    0.000    0.026    0.000 client.py:838(__init__)
     3109    0.016    0.000    0.027    0.000 response.py:322(_init_length)
     3109    0.016    0.000    0.343    0.000 poolmanager.py:263(connection_from_pool_key)
     9327    0.015    0.000    0.081    0.000 cookies.py:35(__init__)
   198916    0.015    0.000    0.015    0.000 {built-in method builtins.ord}
    68398    0.015    0.000    0.015    0.000 {method 'acquire' of '_thread.lock' objects}
     3109    0.015    0.000    0.070    0.000 connectionpool.py:223(_new_conn)
     3109    0.015    0.000    0.047    0.000 feedparser.py:100(push)
    12436    0.015    0.000    0.021    0.000 message.py:29(_splitparam)
    43533    0.015    0.000    0.015    0.000 {built-in method __new__ of type object at 0x00007FFCC0788F90}
     6218    0.015    0.000    0.086    0.000 models.py:944(json)
    87052    0.015    0.000    0.015    0.000 {method 'partition' of 'str' objects}
    15545    0.014    0.000    0.217    0.000 models.py:887(content)
     6218    0.014    0.000    0.023    0.000 parse.py:520(urlunsplit)
     3109    0.014    0.000    0.078    0.000 client.py:248(__init__)
     3109    0.014    0.000    0.014    0.000 socket.py:680(__init__)
     6218    0.014    0.000    0.059    0.000 adapters.py:174(init_poolmanager)
    21763    0.014    0.000    0.014    0.000 {method 'fullmatch' of 're.Pattern' objects}
     3109    0.014    0.000    0.014    0.000 {method 'Close' of 'PyHKEY' objects}
     6218    0.014    0.000    0.050    0.000 parse.py:509(urlunparse)
     3109    0.014    0.000    0.072    0.000 _collections.py:141(__init__)
     3109    0.014    0.000    0.078    0.000 utils.py:893(default_headers)
     6218    0.013    0.000    0.056    0.000 __init__.py:299(loads)
     3109    0.013    0.000    0.041    0.000 response.py:40(assert_header_parsing)
     3109    0.013    0.000    0.347    0.000 poolmanager.py:174(<lambda>)
     3109    0.013    0.000    0.726    0.000 adapters.py:333(get_connection)
    34199    0.013    0.000    0.018    0.000 queue.py:21(_get)
    24872    0.013    0.000    0.028    0.000 {built-in method builtins.any}
    55962    0.013    0.000    0.026    0.000 url.py:416(ensure_type)
     6218    0.013    0.000    0.339    0.000 <frozen genericpath>:16(exists)
    71507    0.013    0.000    0.013    0.000 {method '__enter__' of '_thread.lock' objects}
     6218    0.012    0.000    0.012    0.000 {method 'settimeout' of '_socket.socket' objects}
     6218    0.012    0.000    0.015    0.000 contextlib.py:104(__init__)
     3109    0.012    0.000    0.060    0.000 __init__.py:183(dumps)
    43526    0.012    0.000    0.015    0.000 connection.py:223(<genexpr>)
     3109    0.012    0.000    0.045    0.000 message.py:486(<listcomp>)
     6218    0.012    0.000    0.012    0.000 decoder.py:343(raw_decode)
    77743    0.012    0.000    0.012    0.000 {method 'join' of 'str' objects}
     3109    0.012    0.000    0.017    0.000 socket.py:769(close)
     6218    0.012    0.000    0.015    0.000 models.py:906(text)
     3109    0.012    0.000    0.084    0.000 socket.py:945(getaddrinfo)
     3109    0.012    0.000   19.207    0.006 socket.py:692(readinto)
     3109    0.011    0.000    0.410    0.000 poolmanager.py:248(connection_from_context)
     9327    0.011    0.000    0.017    0.000 hooks.py:15(default_hooks)
     3109    0.011    0.000    0.042    0.000 utils.py:1011(get_auth_from_url)
     3109    0.011    0.000    0.097    0.000 cookies.py:140(get_cookie_header)
     3109    0.011    0.000    1.273    0.000 connection.py:161(_new_conn)
    31090    0.011    0.000    0.202    0.000 {method 'join' of 'bytes' objects}
    12436    0.011    0.000    0.011    0.000 {method 'subn' of 're.Pattern' objects}
    37315    0.011    0.000    0.011    0.000 {built-in method builtins.getattr}
     3109    0.011    0.000    0.120    0.000 request.py:2667(getproxies_registry)
    24872    0.011    0.000    0.013    0.000 message.py:506(set_raw)
     3109    0.011    0.000    0.015    0.000 models.py:258(__init__)
     3109    0.011    0.000    0.015    0.000 utils.py:508(_parse_content_type_header)
     3109    0.011    0.000    0.031    0.000 models.py:106(_encode_params)
    18654    0.011    0.000    0.011    0.000 cookiejar.py:1753(__iter__)
     6218    0.010    0.000    0.026    0.000 cookies.py:542(merge_cookies)
     6218    0.010    0.000    0.025    0.000 contextlib.py:287(helper)
     6218    0.010    0.000    0.020    0.000 sessions.py:799(mount)
     3109    0.010    0.000    0.611    0.000 poolmanager.py:287(connection_from_url)
     6218    0.010    0.000    0.401    0.000 adapters.py:362(close)
     6218    0.010    0.000    0.019    0.000 _collections.py:47(__init__)
     3109    0.010    0.000    0.023    0.000 message.py:243(get_payload)
     3109    0.010    0.000    0.109    0.000 requests.py:55(processShutDownCommand)
    21763    0.010    0.000    0.016    0.000 client.py:1290(<genexpr>)
     6218    0.010    0.000    0.384    0.000 feedparser.py:176(_call_parse)
     6218    0.010    0.000    0.010    0.000 message.py:150(__init__)
    27981    0.010    0.000    0.010    0.000 _collections.py:187(__iter__)
     3109    0.009    0.000    0.044    0.000 encoder.py:183(encode)
     3109    0.009    0.000    0.161    0.000 client.py:957(close)
    24872    0.009    0.000    0.012    0.000 client.py:1011(_output)
    24872    0.009    0.000    0.024    0.000 utils.py:1046(_validate_header_part)
     6218    0.009    0.000    0.061    0.000 contextlib.py:141(__exit__)
    31114    0.009    0.000    0.009    0.000 {method 'find' of 'str' objects}
    71508    0.009    0.000    0.009    0.000 {method 'pop' of 'dict' objects}
     3109    0.009    0.000    0.029    0.000 utils.py:533(get_encoding_from_headers)
    31096    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
     3109    0.009    0.000    0.013    0.000 parse.py:917(quote_from_bytes)
     3109    0.009    0.000    0.011    0.000 _collections.py:61(__setitem__)
     6218    0.008    0.000    0.182    0.000 response.py:606(stream)
     3109    0.008    0.000    0.084    0.000 adapters.py:372(request_url)
     3109    0.008    0.000    0.075    0.000 feedparser.py:182(close)
